"id","title","comment","user_id","goal_id","created","active"
1,"Mere fokus på fattigdom","Det er vigtigt at sætte fokus på, hvordan fattigdom påvirker både børn og voksne.",1,1,1637392324,1
2,"Bedre adgang til mad","Der bør være større fokus på bæredygtig fødevareproduktion og mindre madspild.",2,2,1637393204,1
3,"Mental sundhed","Sundhed handler ikke kun om sygdom, men også om trivsel og mental sundhed.",1,3,1637407557,1
4,"Lige adgang til uddannelse","Alle bør have adgang til en god uddannelse uanset social eller økonomisk baggrund.",2,4,1637407580,1
5,"Ligestilling er stadig vigtigt","Der er stadig mange områder, hvor kvinder og mænd ikke har de samme muligheder.",1,5,1637407657,1
6,"Rent vand til alle","Adgang til rent drikkevand burde være en grundlæggende rettighed for alle mennesker.",2,6,1637417154,1
7,"Grøn energi","Vi bør investere mere i solenergi, vindenergi og andre vedvarende energikilder.",1,7,1637741302,1
8,"Gode arbejdsforhold","Økonomisk vækst må ikke ske på bekostning af ordentlige arbejdsforhold.",2,8,1637828400,1
9,"Bæredygtig teknologi","Ny teknologi kan være med til at løse mange klima- og samfundsproblemer.",1,9,1637914800,1
10,"Mindre ulighed","Der bør være bedre muligheder for mennesker uanset økonomi, køn og baggrund.",2,10,1638001200,1
11,"Grønnere byer","Flere grønne områder og bedre offentlig transport kan gøre byerne mere bæredygtige.",1,11,1638087600,1
12,"Mindre forbrug","Vi bør købe færre ting og i højere grad genbruge og reparere det, vi allerede har.",2,12,1638174000,1
13,"Handling mod klimaforandringer","Vi skal handle hurtigere, hvis vi vil begrænse konsekvenserne af klimaforandringer.",1,13,1638260400,1
14,"Beskyt havene","Plastik og forurening i havene er et stort problem, som kræver internationale løsninger.",2,14,1638346800,1
15,"Mere natur","Beskyttelse af skove og biodiversitet bør prioriteres langt højere.",1,15,1638433200,1
16,"Fred og retfærdighed","Stærke institutioner og adgang til retfærdighed er afgørende for stabile samfund.",2,16,1638519600,1
17,"Samarbejde er nødvendigt","Verdensmålene kan kun nås, hvis lande, virksomheder og borgere arbejder sammen.",1,17,1638606000,1
