"id","goal_id","sort_number","title","description"
1,1,1,"1.1","Inden 2030 skal ekstrem fattigdom være udryddet for alle mennesker overalt i verden, for øjeblikket målt som mennesker, der lever for mindre end USD 1,90 om dagen."
2,1,2,"1.2","Inden 2030 skal andelen af mænd, kvinder og børn i alle aldre, som lever i fattigdom i alle dens dimensioner, halveres i henhold til nationale definitioner."
3,1,3,"1.3","Gennemførelse af nationalt tilpassede sociale sikringssystemer og foranstaltninger for alle, inklusiv nedre grænser, og inden 2030 opnå en substantiel dækning af de fattige og de udsatte grupper."
4,1,4,"1.4","Inden 2030 skal det sikres, at alle mænd og kvinder, især de fattige og de udsatte, har lige ret til de økonomiske ressourcer samt adgang til basale serviceydelser, ejerskab og kontrol over land og andre former for ejendom, arv, naturressourcer, passende ny teknologi og finansielle tjenesteydelser herunder mikrofinansiering."
5,1,5,"1.5","Inden 2030 skal modstandsdygtigheden opbygges hos de fattige og hos mennesker, der lever i udsatte situationer, og deres eksponering og sårbarhed over for klimarelaterede ekstreme hændelser og andre økonomiske, sociale og miljømæssige chok og katastrofer skal reduceres."
6,1,6,"1.a","Sikring af en betydelig mobilisering af ressourcer fra en række forskellige kilder, herunder gennem øget udviklingssamarbejde, med henblik på at tilvejebringe tilstrækkelige og forudsigelige midler til udviklingslandene, i særdeleshed de mindst udviklede lande, til gennemførelse af programmer og politikker for at udrydde fattigdom i alle dens dimensioner."
7,1,7,"1.b","Skabelse af solide politiske rammer på nationalt, regionalt og internationalt plan, baseret på udviklingsstrategier med særlig fokus på de fattige og på ligestilling, for at fremskynde investeringer i tiltag til udryddelse af  fattigdom."
8,2,1,"2.1","Inden 2030 skal sult være udryddet, og alle mennesker - især de fattige og de mest sårbare, herunder småbørn, - skal sikres adgang til sikker, ernæringsrig og tilstrækkelig mad hele året rundt."
9,2,2,"2.2","Inden 2030 skal alle former for fejlernæring udryddes, herunder skal de internationalt aftalte delmål for væksthæmmede og afmagrede børn under 5 år nås inden 2025, og ernæringsbehovet hos unge piger, gravide og ammende kvinder samt ældre mennesker skal tilgodeses."
10,2,3,"2.3","Inden 2030 skal produktiviteten i landbruget og indkomsterne for små fødevareproducenter fordobles, særlig for kvinder, oprindelig folk, familiebønder, kvægavlere og fiskere, herunder gennem sikker og lige adgang til jord, andre produktive ressourcer og tilførsler, viden, finansielle tjenester, markeder og muligheder for værditilvækst, samt beskæftigelse uden for landbruget."
11,2,4,"2.4","Inden 2030 skal der sikres bæredygtige fødevareproduktionssystemer og implementeres modstandsdygtige landbrugspraksisser, som øger produktivitet og produktion, medvirker til at bevare økosystemer, styrker kapaciteten for tilpasning til klimaforandringer, ekstreme vejrforhold, tørke, oversvømmelser og andre katastrofer, og som fremskynder forbedring af land og jordkvalitet."
12,2,5,"2.5","Inden 2020 skal den genetiske diversitet bevares for såsæd, opdyrkede planter, landbrugsopdræt og husdyr, samt deres relaterede vilde arter, herunder gennem fornuftigt forvaltet og diversificerede såsæd- og plantebanker på nationalt, regionalt og internationalt niveau, og der skal fremmes adgang til, samt retfærdig fordeling af goderne ved udnyttelse af de generiske ressourcer og den associerede traditionelle viden, som internationalt aftalt."
13,2,6,"2.a","Investeringer skal øges, blandt andet gennem forbedret internationalt samarbejde, i landdistrikternes infrastruktur, i landbrugsforskning og konsulenttjenester, i teknologiudvikling samt i genbanker for planter og husdyr, for at forbedre landbrugets produktivitetskapacitet i udviklingslande, især i de mindst udviklede lande."
14,2,7,"2.b","Handelsbarrierer og forvridninger i de globale landbrugsmarkeder skal fjernes og forebygges, herunder via parallel afskaffelse af alle former for eksportstøtte til landbruget og alle eksportforanstaltninger med tilsvarende effekt, i overensstemmelse med mandatet fra Doha-udviklingsrunden."
15,2,8,"2.c","Der skal vedtages tiltag, der skal sikre, at fødevaremarkederne og de heraf afledte markeder fungerer ordentligt, og som er med til at sikre rettidig adgang til markedsinformationer, herunder fødevarelagre, for derved at hjælpe med at begrænse ekstreme udsving i fødevarepriserne."
16,3,1,"3.1","Inden 2030 skal den globale mødredødelighed reduceres til under 70 dødsfald pr. 100.000 levendefødte."
17,3,2,"3.2","Inden 2030 skal der sættes en stopper for dødsfald blandt nyfødte og børn under 5 år, der kan forebygges, med en målsætning i alle lande om at reducere den neonatale dødelighed til maksimalt 12 dødsfald pr. 1000 levendefødte,   og reducere dødelighed hos børn under 5 år til maksimum 25 dødsfald pr. 1.000 levendefødte fødsler."
18,3,3,"3.3","Inden 2030 skal der sættes en stopper for epidemier af AIDS, tuberkulose, malaria og negligerede tropiske sygdomme, og sygdomme som hepatitis, vandbårne sygdomme og andre smitsomme sygdomme skal bekæmpes.
"
19,3,4,"3.4","Inden 2030 skal præmatur dødelighed, som følge af ikke-smitsomme sygdomme, reduceres med en tredjedel gennem forebyggelse og behandling samt fremme af mental sundhed og trivsel. "
20,3,5,"3.5","Forebyggelse og behandling af stofmisbrug, herunder narkotikamisbrug og skadelig brug af alkohol, skal styrkes."
21,3,6,"3.6","Inden 2020 skal antallet af globale dødsfald og tilskadekomster som følge af trafikulykker halveres."
22,3,7,"3.7","Inden 2030 skal der sikres universel adgang til seksuelle og reproduktive sundhedstjenester, herunder familieplanlægning, oplysning og uddannelse, og integration af reproduktiv sundhed i nationale strategier og programmer. "
23,3,8,"3.8","Der skal opnås universel sundhedsdækning, herunder beskyttelse mod økonomiske risici, adgang til livsvigtige sundhedsydelser af høj kvalitet, og adgang til sikker og effektiv livsvigtig kvalitetsmedicin og vacciner til en overkommelig pris for alle."
24,3,9,"3.9","Inden 2030 skal antallet af dødsfald og sygdomme som følge af udsættelse for farlige kemikalier samt luft-, vand- og jordforurening og kontaminering, væsentligt reduceres. "
25,3,10,"3.a","Implementering af WHO’s (Verdenssundhedsorganisationen) Rammekonvention vedrørerende Tobakskontrol i alle lande, som relevant, skal styrkes."
26,3,11,"3.b","Forskning og udvikling af vacciner og medicin til behandling af smitsomme og ikke‑smitsomme sygdomme skal støttes, og primært indenfor områder, som påvirker udviklingslandene, fremmer adgang til livsvigtig medicin og vacciner til en overkommelig pris i overensstemmelse med Doha-erklæringen om TRIPS-aftalen og Offentlig Sundhed, og som bekræfter udviklingslandenes ret til i fuldt omfang at anvende bestemmelserne i Aftalen om Handelsrelaterede Intellektuelle Ejendomsrettigheder vedrørende fleksibilitet i beskyttelsen af offentlig sundhed, og især at sikre adgang til medicin for alle."
27,3,12,"3.c","Der skal opnås en væsentlig forøgelse af sundhedsfinansiering og rekruttering, udvikling, uddannelse og fastholdelse af sundhedsarbejdsstyrken i udviklingslande, især i de mindst udviklede lande og de udviklingslande, som består af småøer."
28,3,13,"3.d","Alle lande, og især udviklingslandene, skal styrke deres kapacitet for tidlig varsling, risikoreduktion og håndtering af nationale og globale sundhedsrisici."
29,4,1,"4.1","Inden 2030 skal det sikres, at alle piger og drenge gennemfører gratis, rummelig grundskoleuddannelse i høj kvalitet, der fører til relevante og effektive læringsresultater."
30,4,2,"4.2","Inden 2030 skal alle piger og drenge sikres adgang til tidlig barndomsudvikling, omsorg og før-skoleundervisning af høj kvalitet, så de er klar til grundskoleundervisningen.
"
