"id","title","comment","user_id","goal_id","created","active"
194,"erwe","sdfsdf",1,7,1637392324,1
200,"sdfsdf","dfsdf",1,7,1637393204,1
205,"dsf","sdfdf",1,7,1637407557,1
206,"sdf","sdfsdf",1,7,1637407580,1
207,"sdfsdf","sdfsdf",1,7,1637407657,1
208,"Hej hej","Hej med dig du",39,7,1637417154,1
213,"Hej med dig"," Ha det godt",32,1,1637741302,1
215,"","",33,7,1638184375,1
216,"hbgh","nggnvn",33,7,1651143237,1
217,"hbgh","nggnvn",33,7,1651143237,1
218,"hbgh","nggnvn",33,7,1651143240,1
219,"hbgh","nggnvn",33,7,1651143240,1
227,"Salad","New deposit Officer gold",1,1,1660907076,0
228,"dfgdfg","undefined",1,7,1660907125,1
229,"H1WE080121 er de sejeste","undefined",1,7,1660907180,1
230,"dffg","dfgdfg",1,7,1660907243,1
231,"dffg","dfgdfg",1,7,1660907246,1
232,"dsfdfdf","sdfsdfdf",1,7,1660907255,1
234,"what","hvad så",38,1,1660910492,1
235,"heinz","god weekend",38,1,1660910582,1
236,"titel","kommentar",33,1,1660914819,1
237,"test","test af kommentar",1,13,1661639222,1
238,"test","gffhfhg",1,13,1661640983,1
239,"ututyu","tyutyutu",1,13,1661641189,1
240,"system","Accountability convergence Bedfordshire Gloves Car",38,10,1662645525,1
